subject,session,trial_type,f1,f2
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,15,15
def-1-16-08,1,cr,15,15
def-1-16-08,1,cr,15,15
def-1-16-08,1,cr,421,421
def-1-16-08,1,cr,470,470
def-1-16-08,1,cr,202,202
def-1-16-08,1,cr,202,202
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,321,321
def-1-16-08,1,cr,49,49
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,29,29
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,106,106
def-1-16-08,1,cr,106,106
def-1-16-08,1,cr,106,106
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,115,115
def-1-16-08,1,cr,115,115
def-1-16-08,1,cr,364,364
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,795,795
def-1-16-08,1,cr,613,613
def-1-16-08,1,cr,613,613
def-1-16-08,1,cr,252,252
def-1-16-08,1,cr,16,16
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,421,421
def-1-16-08,1,cr,34,34
def-1-16-08,1,cr,34,34
def-1-16-08,1,cr,32,32
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,23,23
def-1-16-08,1,cr,723,723
def-1-16-08,1,cr,664,664
def-1-16-08,1,cr,94,94
def-1-16-08,1,cr,94,94
def-1-16-08,1,cr,54,54
def-1-16-08,1,cr,54,54
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,95,95
def-1-16-08,1,cr,95,95
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,153,153
def-1-16-08,1,cr,138,138
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,89,89
def-1-16-08,1,cr,89,89
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,64,64
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,400,400
def-1-16-08,1,cr,470,470
def-1-16-08,1,cr,66,66
def-1-16-08,1,cr,66,66
def-1-16-08,1,cr,66,66
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,123,123
def-1-16-08,1,cr,123,123
def-1-16-08,1,cr,532,532
def-1-16-08,1,cr,532,532
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,11,11
def-1-16-08,1,cr,11,11
def-1-16-08,1,cr,1131,1131
def-1-16-08,1,cr,25,25
def-1-16-08,1,cr,81,81
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,65,65
def-1-16-08,1,cr,27,27
def-1-16-08,1,cr,27,27
def-1-16-08,1,cr,27,27
def-1-16-08,1,cr,32,32
def-1-16-08,1,cr,32,32
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,260,260
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,15,15
def-1-16-08,1,cr,15,15
def-1-16-08,1,cr,28,28
def-1-16-08,1,cr,28,28
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,470,470
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,37,37
def-1-16-08,1,cr,37,37
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,94,94
